,toxic_pct,nontoxic_pct,ratio
fuck,24.560862865947612,0.14649459365190093,167.65712818255193
shit,9.275808936825886,0.20230205790024414,45.8512831411721
bitch,5.608628659476117,0.048831531217300314,114.85670261941448
ass,11.556240369799692,5.252877572375305,2.1999828114353064
dick,4.375963020030817,0.12207882804325079,35.845388509795285
cock,3.3590138674884438,0.05929543076386467,56.64878092993746
piss,1.448382126348228,0.12207882804325079,11.86431873211534
cunt,3.4206471494607085,0.024415765608650157,140.09993396434072
twat,0.4930662557781202,0.017439832577607256,28.27241910631741
slag,0.030816640986132512,0.013951866062085802,2.208782742681048
